,timestamp,tweet
42,2017-01-02 18:12:53,"We stand for hypocrisy of the authorities,who are only meant to give assurance in words&amp;not on paper. #IIITKalyaniCrisis #Day2 @HRDMinistry"
43,2017-01-02 18:11:33,"We have seen that they can’t see, now you all have to see that we don’t go UNSEEN !!#IIITKALYANICRISIS #Day2 @PMOIndia @PrakashJavdekar"
44,2017-01-02 18:09:40,Modi govt.talks about #DigitalIndia and a centrally funded IT institute struggling for survival #IIITKalayaniCrisis @TOIIndiaNews @PMOIndia
45,2017-01-02 18:07:53,We deserve something if not everything. #DARKFUTURE #IIITKalyaniCrisis @PrakashJavdekar @PMOIndia @HRDMinistry @the_hindu @TOIIndiaNews
46,2017-01-02 18:04:02,#IIITKALYANICRISIS IIIT Kalyani at STRIKE…@PrakashJavdekar @HRDMinistry @PMOIndia @MamataOfficial https://t.co/lvuyXYavCi
47,2017-01-02 18:01:39,Only thing that exists in IIIT Kalyani is the answer 'No' for all questions by the administration.#IIITKALYANICRISIS @PrakashJavdekar
48,2017-01-02 18:00:23,"If merely2rooms &amp; 5 staff can be declared a college of higher importance, then anyone can start this so called 'COLLEGE'. #IIITKalyaniCrisis"
49,2017-01-02 17:59:00,What's happening here is an epitome of educational Dystopia. Need immediate attention/help. #IIITKalyaniCrisis @PMOIndia @MamataOfficial
50,2017-01-02 17:57:52,Welcome to IIIT Kalyani- An institute with Director's and Registrar's attendance less than 1% @HRDMinistry @PrakashJavdekar @PMOIndia
51,2017-01-02 17:56:47,We have almost waited too long and showed great patience... Time for action #STRIKE #IIITKalyaniCrisis @PrakashJavdekar @PMOIndia
52,2017-30-01 19:41:03,"RT @dark_archerx: 6 hours ago
More
 @PrakashJavdekar @SushmaSwaraj 

No Director, No Registrar !!
Is it even a COLLEGE ?

#IIITKalyaniCrisis"
53,2017-30-01 19:40:34,"RT @suryavamsi81: @PrakashJavdekar @SushmaSwaraj 
Our college is on life support system. Please save.
#IIITKalyaniCrisis"
54,2017-30-01 19:40:31,"RT @suryavamsi81: @PrakashJavdekar @SushmaSwaraj 
Our PADMA SHRI Mentor Director does NOTHING-AT-ALL !!!
#IIITKalyaniCrisis"
55,2017-30-01 19:40:26,"RT @suryavamsi81: @PrakashJavdekar @SushmaSwaraj 
Temp Registrar comes once a week
Mentor Director comes once a year
How will the this work…"
56,2017-30-01 19:39:41,#IIITKalyaniCrisis @HRDMinistry https://t.co/4IuHh8DOK9
57,2017-30-01 19:38:16,Situation of IIIT Kalyani#IIITKalyaniCrisis https://t.co/eddCepSMJE
58,2017-30-01 14:08:30,#IIITKalyaniCrisis @office0ffRG @ArvindKejriwal https://t.co/TCqC1p5Un7
59,2017-30-01 14:06:40,@PMOIndia https://t.co/IVuAAjjfr0
60,2017-30-01 14:05:52,@PrakashJavdekar @SushmaSwaraj @RashtrapatiBhvn No Director No Registrar Irregular Classes Under-equipped Lab. Save Us. #IIITKalyaniCrisis
61,2017-30-01 14:04:59,#IIITKalyaniCrisis #Shame https://t.co/Y3TfB4gOiQ
62,2017-30-01 14:04:17,"@PrakashJavdekar @SushmaSwaraj @smritiirani We need help to save our college. Please.
#IIITKalyaniCrisis"
63,2017-30-01 14:03:36,"@PrakashJavdekar @SushmaSwaraj @superstarrajini 
We need help to save our college. Please.
#IIITKalyaniCrisis"
